Console,Game,Collection,Genre,,Time,Score,Video,Speedrun,,,,Active,Done,
3DS,Angry Birds Trilogy,,Arcade,,OK,,,,,,,,,
3DS,Castlevania: Lords of Shadow: Mirror of Fate,,Platformer,,Emulator issues,,,,,,,,,
3DS,Kid Icarus Uprising,,Shooter,,OK,,,,,,,,,
3DS,Kirby Triple Deluxe,,Platformer,,Emulator issues,,,,,,,,,
3DS,Kirby: Planet Robobot,,Platformer,,Emulator issues,,,,,,,,,
3DS,Mario Kart 7,,Racing,,OK,,,,,1,,,,
3DS,Metroid: Samus Returns,,Adventure/Platformer,,OK,,,,,2,,,,
3DS,New Super Mario Bros. 2,,Platformer,,OK,,,,,3,,,,
3DS,Picross 3D: Round 2,,Puzzle,,Emulator issues,,,,,4,,,,
3DS,Pokémon Omega Ruby,,RPG,,Emulator issues,,,,,5,,,,
3DS,Pokémon Sun,,RPG,,Emulator issues,,,,,6,,,,
3DS,Professor Layton and the Miracle Mask,,Puzzle,,Emulator issues,,,,,7,,,,
3DS,Ridge Racer 3D,,Racing,,Emulator issues,,,,,8,,,,
3DS,Scribblenauts Unlimited,,Puzzle,,Emulator issues,,,,,9,,,,
3DS,Skylanders: Spyro's Adventure,,Platformer,,Emulator issues,,,,,10,,,,
3DS,Starfox 64 3D,,Shmup,,Emulator issues,,,,,,,,,
3DS,Super Mario 3D Land,,Platformer,,OK,,,,,,,,,
3DS,Super Pokémon Rumble,,Beat 'm Up,,Emulator issues,,,,,,,,,
3DS,Tetris,,Puzzle,,6:42:35,4,https://youtu.be/99OkBVVSQ08,,,,,x,x,
3DS,The Legend of Zelda: A Link Between Worlds,,Action/Adventure,,Emulator issues,,,,,,,,,
3DS,The Legend of Zelda: Ocarina of Time 3D,,Action/Adventure,,OK,,,,,,,,,
3DS,The Legend of Zelda: Tri Force Heroes,,Action/Adventure,,Emulator issues,,,,,,,,,
3DS,Yoshi's New Island,,Platformer,,Emulator issues,,,,,,,,,
