 ,Console,Game,Collection,Genre,,Time,Score,Video,,
,,,,,,,,,,
,Upcoming,,,,,,,,,
,,,,,,,,,,
376,NDS,Professor Layton and the Lost Future,,Puzzle,,,,,,
,GBA,Shrek 2,Shrek 2 / Madagascar Operation Penguin,Puzzle/Platformer,,,,,,
,XBONE,Underwurlde,Rare Replay,Platformer,,,,,,
,XBONE,Knight Lore,Rare Replay,Adventure,,,,,,
380,Switch,Yu-Gi-Oh! Legacy of the Duelist -Link Evolution-,,Cardgame,,,,,,
,GBC,Rhino Rumble,,Platformer,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Recent,,,,,,,,,
,,,,,,,,,,
375,Wii,The Legend of Zelda: Twilight Princess,,Adventure,,28:41:48,9,,,14/06/2022
374,XBOX,Silent Hill 4: The Room,,Survival Horror,,15:17:52,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDCd8WEfc6esvt5v-n6tPAU,,02/06/2022
373,GB,Ganbare Goemon: Sarawareta Ebisumaru!,,Adventure,,6:40:29,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDwEhaVbDjOpDfMzDpk6ujH,,20/05/2022
372,PS3,Catherine,,Puzzle,,12:49:59,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBB64oHFhVXCl0SHhFqCWfRk,,17/05/2022
371,PS2,Max Payne 2: The Fall of Max Payne,,Shooter,,8:19:20,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAPj4w4_l-X1xKVNnN7vwGl,,27/04/2022
370,Wii,Mercury Meltdown Revolution,,Arcade,,15:40:05,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDRf28MaSt1eb6PeGm5S0v-,,25/04/2022
369,C64,Cabal,(in R-Type box),Shooter,,1:19:37,9,https://youtu.be/b8zjaXYEgmY,,12/04/2022
368,GB,Kirby's Dream Land 2,,Platformer,,3:22:27,6,https://youtu.be/Gah86DqQ3js,,11/04/2022
367,PS3,American McGee's Alice,,Platformer,,10:10:09,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDK1WZqOByFK6KohdltoXaG,,11/04/2022
366,PSP,Sonic Rivals 2,,Racing,,2:55:25,4,https://youtu.be/rcu2RU5RMLs,,05/04/2022
365,NES,Batman,,Platformer,,1:43:48,9,https://youtu.be/IQy3zRscA38,,04/04/2022
364,PC,Ostrich Runner,,Racing,,1:42:35,4,https://youtu.be/_4mA9JUq5mg,,16/03/2022
363,N64,Pokémon Stadium 2,,Action,,42:41:41,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBCbOohnsmbg-bK07U6Ls-_u,,16/03/2022
362,XBOX,Project Gotham Racing 2,,Racing,,23:51:53,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBAXkb1-eATrXzODVCAcjcQ2,,02/03/2022
361,GCN,Sega Soccer Slam,,Sports,,3:47:04,7,https://youtu.be/pzRX30BR-dE,,23/02/2022
360,Wii,Shaun White Snowboarding: Road Trip,,Sports,,2:28:01,7,https://youtu.be/FLCdzDoh6Yg,,22/02/2022
